,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
2425,,,,,,,,YES,YES,YES
2426,,,,,,,,MISSING,YES,YES
2427,,,,,,,,MISSING,YES,YES
2428,,,,,,,,YES,YES,YES
2429,,,,,,,,YES,YES,YES
2430,,,,,,,,MISSING,NO,NO
2431,,,,,,,,MISSING,MISSING,NO
2432,,,,,,,,MISSING,MISSING,NO
2433,,,,,,,,NO,MISSING,NO
2434,,,,,,,,YES,YES,YES
2435,,,,,,,,YES,YES,YES
2436,,,,,,,,YES,YES,YES
2437,,,,,,,,YES,YES,YES
2438,,,,,,,,NO,NO,NO
2439,,,,,,,,NO,NO,NO
2440,,,,,,,,NO,MISSING,NO
2441,,,,,,,,YES,YES,YES
2442,,,,,,,,YES,YES,YES
2443,,,,,,,,NO,NO,NO
2444,,,,,,,,YES,YES,YES
2445,,,,,,,,YES,YES,YES
