CAS,Deprecated CAS
"98-92-0, 11032-50-1","123574-63-0, 37321-14-5, 78731-47-2, 123574-63-0, 78731-47-2"
"54-11-5, 54-11-5
22083-74-5","13890-81-8, 13890-82-9, 16760-37-5, 551-13-3, 6912-85-2, 13890-82-9, 16760-37-5, 551-13-3, 6912-85-2"
55-63-0,"100292-13-5, 105469-31-6, 80066-48-4, 8013-23-8, 9010-02-0, 100292-13-5, 105469-31-6, 8013-23-8, 9010-02-0"
"9016-45-9, 26027-38-3, 26571-11-9","102188-45-4, 103939-37-3, 105269-88-3, 106152-98-1, 107231-62-9, 11098-16-1, 11103-60-9, 11107-93-0, 111623-62-2, 112509-36-1, 114101-89-2, 1163687-50-0, 116711-78-5, 1202388-20-2, 1202388-26-8, 123019-34-1, 123068-21-3, 124057-60-9, 12767-68-9, 12789-12-7, 12790-67-9, 137263-06-0, 139281-67-7, 141490-14-4, 142985-89-5, 143929-07-1, 167140-06-9, 172521-16-3, 1809431-45-5, 1809431-82-0, 188612-23-9, 190856-87-2, 1943678-94-1, 202936-22-9, 205577-03-3, 2091900-73-9, 2096976-67-7, 226225-58-7, 226225-59-8, 2323620-11-5, 2332812-08-3, 2408592-97-0, 25640-88-4, 27288-14-8, 28136-10-9, 286015-24-5, 286015-28-9, 29594-36-3, 30676-83-6, 32196-52-4, 37187-23-8, 37210-94-9, 37230-99-2, 37280-80-1, 37291-67-1, 37336-52-0, 376647-33-5, 39289-57-1, 39316-45-5, 39316-73-9, 39346-85-5, 39373-71-2, 39392-83-1, 39393-36-7, 39421-49-3, 39453-05-9, 39454-98-3, 39475-46-2, 42617-03-8, 441352-55-2, 441352-56-3, 441352-57-4, 441352-58-5, 441352-59-6, 50855-29-3, 509171-19-1, 50934-84-4, 51059-97-3, 51609-19-9, 51668-51-0, 51938-59-1, 51938-60-4, 52012-43-8, 52038-46-7, 52051-49-7, 52434-07-8, 52440-03-6, 52440-78-5, 52440-94-5, 52504-18-4, 52504-19-5, 52683-07-5, 53125-17-0, 53529-49-0, 53663-55-1, 53763-35-2, 53763-36-3, 54174-36-6, 54985-54-5, 55126-80-2, 55838-69-2, 56590-96-6, 57308-02-8, 57571-69-4, 59330-69-7, 60098-67-1, 60476-27-9, 61614-07-1, 61840-55-9, 62169-44-2, 62229-21-4, 62229-24-7, 62229-29-2, 623588-93-2, 63440-03-9, 63798-88-9, 64296-14-6, 64940-97-2, 65035-40-7, 65035-41-8, 65777-14-2, 66525-84-6, 67053-58-1, 72847-44-0, 72847-45-1, 74434-41-6, 74656-63-6, 74749-71-6, 75882-09-6, 76829-05-5, 77271-60-4, 80341-59-9, 80966-32-1, 81296-82-4, 83271-48-1, 874461-43-5, 9021-03-8, 90452-81-6, 9067-50-9, 93095-76-2, 933050-99-8, 942205-98-3, 95828-59-4, 96231-61-7, 96957-64-1, 96958-17-7, 96958-28-0, 99402-83-2, 99531-82-5, 100777-03-5, 102735-76-2, 113595-38-3, 117989-54-5, 120038-12-2, 124401-72-5, 12612-63-4, 131160-29-7, 1338788-01-4, 135229-74-2, 190386-13-1, 195065-75-9, 204842-55-7, 226924-41-0, 27942-26-3, 28776-15-0, 29319-48-0, 34149-89-8, 37330-04-4, 374934-72-2, 39042-04-1, 52440-21-8, 52440-22-9, 55247-80-8, 56214-26-7, 58339-76-7, 68858-84-4, 69154-14-9, 70025-66-0, 78009-08-2, 86243-62-1, 86727-29-9, 9002-95-3, 96827-50-8, 96827-63-3, 99550-41-1, 41257-07-2, 26571-11-9"
"83150-76-9, 79517-01-4",
N/A,
15722-48-2,
389139-89-3,
9006-59-1,9066-83-5
61825-94-3,
